"","from","to","weight"
"1298",56,40,243
"1299",33,29,27
"1300",29,21,577
"1301",10,39,22
"1302",18,97,1
"1303",38,97,1
"1304",90,33,26
"1305",57,7,17
"1306",91,38,153
"1307",91,40,90
"1308",4,33,65
"1309",89,38,1
"1310",89,22,10
"1311",55,33,44
"1312",31,85,9
"1313",30,33,78
"1314",136,8,1
"1315",11,5,128
"1316",45,1,19
"1317",181,39,1
"1318",10,56,6
"1319",188,56,7
"1320",81,8,1
"1321",108,108,122
"1322",180,1,4
"1323",120,57,4
"1324",9,18,4
"1325",57,33,5
"1326",156,39,1
"1327",19,24,33
"1328",9,19,79
"1329",42,53,1
"1330",116,53,31
"1331",91,6,58
"1332",6,15,1
"1333",111,5,129
"1334",21,5,35
"1335",146,56,48
"1336",71,29,4
"1337",19,10,33
"1338",89,33,6
"1339",54,14,9
"1340",17,56,6
"1341",31,37,101
"1342",31,109,1
"1343",160,22,17
"1344",98,1,12
"1345",22,4,123
"1346",37,34,2
"1347",9,27,3
"1348",11,57,2
"1349",147,33,197
"1350",92,8,55
"1351",38,22,13
"1352",97,21,20
"1353",31,110,42
"1354",23,110,2
"1355",10,33,14
"1356",38,33,21
"1357",17,39,10
"1358",68,39,10
"1359",15,39,34
"1360",24,22,283
"1361",72,39,2
"1362",42,33,1
"1363",30,26,1
"1364",21,111,35
"1365",31,111,12
"1366",1,56,23
"1367",59,56,3
"1368",85,9,1
"1369",111,4,48
"1370",44,7,3
"1371",56,8,5
"1372",101,8,11
"1373",73,11,17
"1374",150,38,2
"1375",13,31,11
"1376",9,10,28
"1377",7,15,16
"1378",7,110,7
"1379",37,39,1
"1380",35,39,11
"1381",6,56,3
"1382",47,33,10
"1383",10,21,8
"1384",73,33,11
"1385",2,4,9
"1386",12,38,45
"1387",73,39,6
"1388",4,5,98
"1389",24,57,7
"1390",43,30,9
"1391",22,56,132
"1392",7,56,60
"1393",136,21,6
"1394",91,56,331
"1395",18,6,1
"1396",26,1,8
"1397",51,57,6
"1398",63,24,10
"1399",170,15,3
"1400",35,22,2
"1401",98,29,6
"1402",26,33,9
"1403",56,9,36
"1404",35,33,32
"1405",31,64,30
"1406",46,4,36
"1407",99,11,50
"1408",23,12,29
"1409",64,21,25
"1410",39,21,40
"1411",52,4,5
"1412",39,25,10
"1413",112,112,2
"1414",87,4,70
"1415",12,4,72
"1416",18,21,24
"1417",129,21,8
"1418",89,21,20
"1419",123,8,2
"1420",177,56,3
"1421",4,38,42
"1422",107,4,41
"1423",91,10,33
"1424",55,7,11
"1425",33,39,7
"1426",55,30,28
"1427",66,7,37
"1428",11,64,7
"1429",20,7,14
"1430",48,7,12
"1431",107,8,3
"1432",23,4,43
"1433",60,30,13
"1434",130,30,132
"1435",4,25,14
"1436",91,25,34
"1437",22,45,6
"1438",46,65,12
"1439",60,60,43
"1440",155,60,1
"1441",7,20,26
"1442",130,4,17
"1443",140,38,1
"1444",52,39,6
"1445",35,29,9
